Country Name,Region,Regiona,Latitude (generated),Longitude (generated)
Zimbabwe,7,Sub-Saharan Africa,-19.098,30.047
Zambia,7,Sub-Saharan Africa,-15.13,25.268
Uganda,7,Sub-Saharan Africa,1.9392,32.7415
Togo,7,Sub-Saharan Africa,7.7,1.106
Tanzania,7,Sub-Saharan Africa,-5.651,34.146
Sudan,7,Sub-Saharan Africa,15.739,29.533
South Sudan,7,Sub-Saharan Africa,7.1,30.48
South Africa,7,Sub-Saharan Africa,-31.7,23.441
Somalia,7,Sub-Saharan Africa,2.875,43.446
Sierra Leone,7,Sub-Saharan Africa,8.677,-11.779
Seychelles,7,Sub-Saharan Africa,-4.6841,55.4924
Senegal,7,Sub-Saharan Africa,15.044,-15.081
Sao Tome and Principe,7,Sub-Saharan Africa,0.216,6.595
Rwanda,7,Sub-Saharan Africa,-1.887,29.904
Nigeria,7,Sub-Saharan Africa,9.3417,7.678
Niger,7,Sub-Saharan Africa,16.996,9.915
Namibia,7,Sub-Saharan Africa,-21.276,17.219
Mozambique,7,Sub-Saharan Africa,-13.852,38.042
Mauritius,7,Sub-Saharan Africa,-20.2529,57.5902
Mauritania,7,Sub-Saharan Africa,19.413,-10.6528
Mali,7,Sub-Saharan Africa,18.211,-2.209
Malawi,7,Sub-Saharan Africa,-13.2731,33.7428
Madagascar,7,Sub-Saharan Africa,-19.615,46.645
Liberia,7,Sub-Saharan Africa,6.51,-9.33
Lesotho,7,Sub-Saharan Africa,-29.446,28.371
Kenya,7,Sub-Saharan Africa,0.806,38.166
Guinea-Bissau,7,Sub-Saharan Africa,12.191,-14.475
Guinea,7,Sub-Saharan Africa,10.599,-10.907
Ghana,7,Sub-Saharan Africa,7.258,-1.062
"Gambia, The",7,Sub-Saharan Africa,13.499,-14.641
Gabon,7,Sub-Saharan Africa,-0.406,11.914
Ethiopia,7,Sub-Saharan Africa,8.435,38.786
Eswatini,7,Sub-Saharan Africa,-26.5203,31.4607
Equatorial Guinea,7,Sub-Saharan Africa,1.6342,10.4695
Cote d'Ivoire,7,Sub-Saharan Africa,7.497,-5.336
"Congo, Rep.",7,Sub-Saharan Africa,0.509,16.08
"Congo, Dem. Rep.",7,Sub-Saharan Africa,-1.418,23.607
Comoros,7,Sub-Saharan Africa,-11.6527,43.3307
Chad,7,Sub-Saharan Africa,15.981,18.781
Central African Republic,7,Sub-Saharan Africa,7.043,21.424
Cameroon,7,Sub-Saharan Africa,4.4,12.131
Cabo Verde,7,Sub-Saharan Africa,15.416,-23.36
Burundi,7,Sub-Saharan Africa,-3.333,29.749
Burkina Faso,7,Sub-Saharan Africa,12.673,-1.226
Botswana,7,Sub-Saharan Africa,-22.126,23.662
Benin,7,Sub-Saharan Africa,10.478,2.274
Angola,7,Sub-Saharan Africa,-12.836,17.808
Sri Lanka,6,South Asia,7.3,80.727
Pakistan,6,South Asia,28.1854,66.6429
Nepal,6,South Asia,28.2114,83.5608
Maldives,6,South Asia,4.221,73.463
India,6,South Asia,22.741,78.236
Bhutan,6,South Asia,27.5342,90.3002
Bangladesh,6,South Asia,24.598,90.1963
Afghanistan,6,South Asia,34.023,65.5267
United States,5,North America,40.0792,-98.8164
Greenland,5,North America,71,-39
Canada,5,North America,59.2067,-111.1937
"Yemen, Rep.",4,Middle East & North Africa,15.569,47.793
United Arab Emirates,4,Middle East & North Africa,23.9299,53.9031
Tunisia,4,Middle East & North Africa,35.594,9.421
Syrian Arab Republic,4,Middle East & North Africa,35.303,38.322
Saudi Arabia,4,Middle East & North Africa,24.191,44.32
Qatar,4,Middle East & North Africa,25.3174,51.1522
Oman,4,Middle East & North Africa,19.85,56.25
Morocco,4,Middle East & North Africa,31.129,-7.355
Malta,4,Middle East & North Africa,35.9024,14.4137
Libya,4,Middle East & North Africa,27.24,17.571
Lebanon,4,Middle East & North Africa,34.161,36.021
Kuwait,4,Middle East & North Africa,29.3169,47.4272
Jordan,4,Middle East & North Africa,30.681,36.279
Israel,4,Middle East & North Africa,30.992,34.834
Iraq,4,Middle East & North Africa,33.545,43.278
"Iran, Islamic Rep.",4,Middle East & North Africa,33.408,54.0418
Eritrea,4,Middle East & North Africa,15.982,38.02
"Egypt, Arab Rep.",4,Middle East & North Africa,26.16,28.742
Djibouti,4,Middle East & North Africa,11.41,42.165
Bahrain,4,Middle East & North Africa,26.025,50.5534
Algeria,4,Middle East & North Africa,28.6045,2.64
"Venezuela, RB",3,Latin America & Caribbean,6.983,-64.588
Uruguay,3,Latin America & Caribbean,-32.948,-56.249
Trinidad and Tobago,3,Latin America & Caribbean,10.4435,-61.2604
Suriname,3,Latin America & Caribbean,4.248,-55.848
St. Vincent and the Grenadines,3,Latin America & Caribbean,13.2528,-61.1949
St. Lucia,3,Latin America & Caribbean,13.909,-60.9776
St. Kitts and Nevis,3,Latin America & Caribbean,17.147,-62.58
Peru,3,Latin America & Caribbean,-12.664,-72.98
Paraguay,3,Latin America & Caribbean,-23.266,-58.409
Panama,3,Latin America & Caribbean,8.348,-81.005
Nicaragua,3,Latin America & Caribbean,12.692,-85.03
Mexico,3,Latin America & Caribbean,22.925,-101.68
Jamaica,3,Latin America & Caribbean,18.163,-77.477
Honduras,3,Latin America & Caribbean,14.881,-87.123
Haiti,3,Latin America & Caribbean,19.3175,-72.4205
Guyana,3,Latin America & Caribbean,5.17,-58.939
Guatemala,3,Latin America & Caribbean,15.124,-90.711
Grenada,3,Latin America & Caribbean,12.111,-61.6867
El Salvador,3,Latin America & Caribbean,13.848,-89.229
Ecuador,3,Latin America & Caribbean,-1.151,-78.308
Dominican Republic,3,Latin America & Caribbean,19.01,-70.1685
Dominica,3,Latin America & Caribbean,15.4238,-61.3411
Cuba,3,Latin America & Caribbean,20.571,-76.456
Costa Rica,3,Latin America & Caribbean,10.126,-84.075
Colombia,3,Latin America & Caribbean,3.794,-73.606
Chile,3,Latin America & Caribbean,-23.176,-69.201
Brazil,3,Latin America & Caribbean,-11.694,-48.978
Bolivia,3,Latin America & Caribbean,-16.71,-65.183
Belize,3,Latin America & Caribbean,17.108,-88.744
Barbados,3,Latin America & Caribbean,13.1898,-59.559
"Bahamas, The",3,Latin America & Caribbean,24.7032,-78.0455
Argentina,3,Latin America & Caribbean,-33.166,-64.31
Antigua and Barbuda,3,Latin America & Caribbean,17.625,-61.786
Uzbekistan,2,Europe & Central Asia,41.757,63.958
United Kingdom,2,Europe & Central Asia,52.289,-1.259
Ukraine,2,Europe & Central Asia,49.364,32.132
Turks and Caicos Islands,2,Europe & Central Asia,21.7779,-71.7592
Turkmenistan,2,Europe & Central Asia,39.584,59.597
Turkey,2,Europe & Central Asia,39.144,34.188
Tajikistan,2,Europe & Central Asia,38.367,72.597
Switzerland,2,Europe & Central Asia,46.7794,8.0329
Sweden,2,Europe & Central Asia,66.2188,19
Spain,2,Europe & Central Asia,40.617,-3.388
Slovenia,2,Europe & Central Asia,46.037,14.534
Slovak Republic,2,Europe & Central Asia,48.8595,19.4434
Serbia,2,Europe & Central Asia,44.021,20.699
Russian Federation,2,Europe & Central Asia,64.736,104.062
Romania,2,Europe & Central Asia,45.933,25.119
Portugal,2,Europe & Central Asia,40.957,-7.9373
Poland,2,Europe & Central Asia,52.442,19.72
Norway,2,Europe & Central Asia,61.3701,9.3031
North Macedonia,2,Europe & Central Asia,41.636,21.676
Netherlands,2,Europe & Central Asia,52.1704,5.0102
Montenegro,2,Europe & Central Asia,42.857,19.096
Moldova,2,Europe & Central Asia,47.524,28.444
"Macao SAR, China",2,Europe & Central Asia,22.1404,113.5643
Luxembourg,2,Europe & Central Asia,49.671,6.113
Lithuania,2,Europe & Central Asia,55.342,24.23
Liechtenstein,2,Europe & Central Asia,47.1593,9.547
Latvia,2,Europe & Central Asia,57.017,25.0173
Kyrgyz Republic,2,Europe & Central Asia,41.741,75.043
Kazakhstan,2,Europe & Central Asia,48.866,69.772
Italy,2,Europe & Central Asia,44.3713,11.1084
Isle of Man,2,Europe & Central Asia,54.2362,-4.5149
Ireland,2,Europe & Central Asia,53.214,-7.588
Iceland,2,Europe & Central Asia,64.826,-18.417
Hungary,2,Europe & Central Asia,47.174,19.618
Greece,2,Europe & Central Asia,39.787,21.617
Germany,2,Europe & Central Asia,51.3819,9.9877
Georgia,2,Europe & Central Asia,42.05,43.576
France,2,Europe & Central Asia,46.656,2.543
Finland,2,Europe & Central Asia,62.716,26.192
Faroe Islands,2,Europe & Central Asia,62.1252,-7.0174
Estonia,2,Europe & Central Asia,58.777,25.977
Denmark,2,Europe & Central Asia,56.113,9.096
Czech Republic,2,Europe & Central Asia,49.848,15.2812
