Country Name,Regiona,Total CO2 emissions (thousand metric tons of CO2 excluding Land-Use Change and Forestry),CO2 emissions (kg per PPP $ of GDP),CO2 emissions (metric tons per capita),"Foreign direct investment, net inflows (% of GDP)",GDP growth (annual %),"GDP per capita, PPP (current international $)","Industry, value added (% of GDP)","Population, total",Research and development expenditure (% of GDP),Urban population (% of total population)
Afghanistan,South Asia,169457,2,9,22,111,30711,393,1140663061,,1135
Albania,Europe & Central Asia,263807,7,98,160,112,215773,547,165335573,0,2467
Algeria,Middle East & North Africa,3930103,9,141,35,212,316822,1035,1562168425,2,3209
Angola,Sub-Saharan Africa,672552,6,41,150,139,156311,1437,862262677,0,2290
Antigua and Barbuda,Latin America & Caribbean,22770,9,318,386,145,558695,641,4353765,,1973
Argentina,Latin America & Caribbean,6861546,8,209,75,133,462112,1924,1983448592,11,5202
Armenia,Europe & Central Asia,164360,15,52,122,94,191493,232,177705795,5,3850
Australia,East Asia & Pacific,15313302,17,870,119,203,1046240,787,1051897167,24,5169
Austria,Europe & Central Asia,3391485,7,431,67,155,1140942,1284,479612538,56,3790
Azerbaijan,Europe & Central Asia,1088710,28,132,403,116,279075,1453,433460516,6,3213
"Bahamas, The",Latin America & Caribbean,173453,8,768,189,176,903008,385,15671416,,4630
Bahrain,Middle East & North Africa,761628,16,1162,179,151,1325934,1393,38856660,0,5293
Bangladesh,South Asia,1457417,4,13,20,258,68739,1164,6382290264,,1192
Barbados,Latin America & Caribbean,57890,11,216,200,37,421192,495,15912109,,2179
Belarus,Europe & Central Asia,1791640,24,183,55,75,344346,1099,581255263,16,3733
Belgium,Europe & Central Asia,6572866,10,653,361,149,1065823,573,620279352,48,5852
Belize,Latin America & Caribbean,20334,10,90,200,278,191078,769,12857995,,2933
Benin,Sub-Saharan Africa,102114,4,13,22,226,67048,901,354645133,,1914
Bhutan,South Asia,15440,5,24,24,278,166771,1334,30425951,,1178
Bolivia,Latin America & Caribbean,451699,9,56,126,207,149450,1469,437510870,2,3275
Bosnia and Herzegovina,Europe & Central Asia,477370,16,128,81,233,219267,614,233666508,2,2272
Botswana,Sub-Saharan Africa,143356,7,86,122,470,353742,2195,79501592,1,2203
Brazil,Latin America & Caribbean,13717155,5,88,97,231,351970,1797,8924443877,20,4344
Brunei Darussalam,East Asia & Pacific,278805,6,1160,162,78,2153906,3173,15904634,0,4069
Bulgaria,Europe & Central Asia,3437839,19,414,185,69,382603,1389,498221354,13,3850
Burkina Faso,Sub-Saharan Africa,57337,3,5,30,266,39496,1342,621909466,3,899
Burundi,Sub-Saharan Africa,11388,2,2,15,150,19880,729,359389886,1,407
Cabo Verde,Sub-Saharan Africa,11860,6,28,167,238,127902,853,22255328,0,2470
Cambodia,East Asia & Pacific,123740,4,10,209,154,61319,652,618612444,0,993
Cameroon,Sub-Saharan Africa,262461,5,18,57,220,76483,1429,797548547,,2291
Canada,North America,25507044,10,924,115,104,932003,571,1689156336,42,4714
Central African Republic,Sub-Saharan Africa,11191,2,4,46,85,24029,273,182562173,,2093
Chad,Sub-Saharan Africa,24952,2,3,186,204,38817,823,448130993,0,1113
Chile,Latin America & Caribbean,2355119,9,167,203,232,451993,2211,818097170,4,4990
China,East Asia & Pacific,204688782,28,166,106,484,215185,2606,66674292000,33,1910
Colombia,Latin America & Caribbean,2901824,5,87,112,234,290263,1675,2029238618,4,4133
Comoros,Sub-Saharan Africa,4665,3,9,16,109,66574,471,27480848,,1501
"Congo, Dem. Rep.",Sub-Saharan Africa,149429,2,5,91,96,21228,884,2486671259,1,1944
"Congo, Rep.",Sub-Saharan Africa,126554,7,43,335,211,131238,2584,163358720,,3183
Costa Rica,Latin America & Caribbean,228560,4,65,185,263,354437,1495,194277756,8,3257
Cote d'Ivoire,Sub-Saharan Africa,286961,4,24,69,248,88420,1218,780481568,0,2337
Croatia,Europe & Central Asia,530320,7,121,87,46,469219,604,269894125,17,2954
Cyprus,Europe & Central Asia,269380,12,305,1638,209,824906,975,50833484,8,3587
Czech Republic,Europe & Central Asia,3433140,18,331,127,55,739723,942,623138663,32,4356
Denmark,Europe & Central Asia,3064248,9,592,71,141,1128472,1254,318055634,58,5097
Djibouti,Middle East & North Africa,18561,1,40,155,43,39435,107,31990998,,4348
Dominica,Latin America & Caribbean,5294,8,75,232,85,251446,570,4300499,,3420
Dominican Republic,Latin America & Caribbean,666291,7,84,130,306,297672,1591,433874884,,3440
Ecuador,Latin America & Caribbean,1073326,8,92,65,215,248974,1771,640197933,3,3182
"Egypt, Arab Rep.",Middle East & North Africa,5636751,8,86,107,311,238872,1804,3554937692,8,2594
El Salvador,Latin America & Caribbean,220394,5,40,71,109,172746,1394,307372284,1,3182
