Country Name,Regiona,CO2 emissions (metric tons per capita),"GDP per capita, PPP (current international $)","Population, total"
Sri Lanka,South Asia,0.99815413,13169.094704705,21670000
Pakistan,South Asia,0.981820105,4853.266557402,212228288
Nepal,South Asia,0.428179218,3864.322124097,28095712
Maldives,South Asia,3.703674976,19246.80748384,515704
India,South Asia,1.799825446,6675.361294109,1352642283
Bhutan,South Asia,1.829277992,11620.915900116,754396
Bangladesh,South Asia,0.512837314,4547.479571619,161376713
Afghanistan,South Asia,0.200151071,2082.635648214,37171922
United States,North America,15.240874583,63064.418409673,326838199
Canada,North America,15.497025267,50239.991045343,37065178
Zimbabwe,Sub-Saharan Africa,0.849792905,3421.898173238,14438812
Zambia,Sub-Saharan Africa,0.446065443,3606.093622848,17351714
Uganda,Sub-Saharan Africa,0.143462178,2172.915866539,42729032
Togo,Sub-Saharan Africa,0.286471389,2110.826419987,7889095
Tanzania,Sub-Saharan Africa,0.205634733,2652.391378409,56313444
Sudan,Sub-Saharan Africa,0.483235878,4448.841228788,41801532
South Africa,Sub-Saharan Africa,7.496644895,12931.122764451,57792520
Somalia,Sub-Saharan Africa,0.04597479,887.576173278,15008225
Sierra Leone,Sub-Saharan Africa,0.133330736,1703.2288427,7650149
Seychelles,Sub-Saharan Africa,6.407474008,27998.641789446,96762
Senegal,Sub-Saharan Africa,0.621912357,3388.946311302,15854324
Sao Tome and Principe,Sub-Saharan Africa,0.663406498,4089.156665561,211032
Rwanda,Sub-Saharan Africa,0.087790824,2138.89969873,12301969
Nigeria,Sub-Saharan Africa,0.667110199,5278.848394701,195874685
Niger,Sub-Saharan Africa,0.102037038,1229.807585901,22442831
Namibia,Sub-Saharan Africa,1.735898378,10334.572048504,2448300
Mozambique,Sub-Saharan Africa,0.225115201,1320.702264539,29496009
Mauritania,Sub-Saharan Africa,0.908407126,5163.499019211,4403312
Mali,Sub-Saharan Africa,0.294583928,2338.533676492,19077755
Malawi,Sub-Saharan Africa,0.086533726,1506.356575321,18143215
Madagascar,Sub-Saharan Africa,0.128320761,1630.278463703,26262313
Liberia,Sub-Saharan Africa,0.273917114,1532.947589421,4818976
Lesotho,Sub-Saharan Africa,1.218975994,2677.436314337,2108327
Kenya,Sub-Saharan Africa,0.358028408,4304.771635673,51392570
Guinea-Bissau,Sub-Saharan Africa,0.165394728,1947.596760423,1874304
Guinea,Sub-Saharan Africa,0.251323233,2559.724765782,12414292
Ghana,Sub-Saharan Africa,0.541201382,5302.204005306,29767108
"Gambia, The",Sub-Saharan Africa,0.249989913,2209.892592766,2280092
Gabon,Sub-Saharan Africa,2.175272204,15098.445410318,2119275
Ethiopia,Sub-Saharan Africa,0.149050931,2154.020876859,109224410
Eswatini,Sub-Saharan Africa,0.959275668,8725.170200197,1136274
Equatorial Guinea,Sub-Saharan Africa,5.095625096,20875.478210598,1308966
Cote d'Ivoire,Sub-Saharan Africa,0.395305384,5154.331702074,25069226
"Congo, Rep.",Sub-Saharan Africa,0.613992586,4027.866355568,5244363
"Congo, Dem. Rep.",Sub-Saharan Africa,0.026169263,1111.965790071,84068092
Comoros,Sub-Saharan Africa,0.312379103,3140.472044281,832322
Chad,Sub-Saharan Africa,0.069131598,1614.16828692,15477727
Central African Republic,Sub-Saharan Africa,0.070718706,955.513744292,4666375
Cameroon,Sub-Saharan Africa,0.341842908,3690.068788591,25216261
Cabo Verde,Sub-Saharan Africa,1.140200528,7028.993090726,543764
