Country Name,Regiona,CO2 emissions (kg per PPP $ of GDP),CO2 emissions (metric tons per capita),"Foreign direct investment, net inflows (% of GDP)",GDP growth (annual %),"Industry, value added (% of GDP)","Population, total",Research and development expenditure (% of GDP),Urban population (% of total population)
Afghanistan,South Asia,2,9,22,111,393,1140663061,,1135
Albania,Europe & Central Asia,7,98,160,112,547,165335573,0,2467
Algeria,Middle East & North Africa,9,141,35,212,1035,1562168425,2,3209
Angola,Sub-Saharan Africa,6,41,150,139,1437,862262677,0,2290
Antigua and Barbuda,Latin America & Caribbean,9,318,386,145,641,4353765,,1973
Argentina,Latin America & Caribbean,8,209,75,133,1924,1983448592,11,5202
Armenia,Europe & Central Asia,15,52,122,94,232,177705795,5,3850
Australia,East Asia & Pacific,17,870,119,203,787,1051897167,24,5169
Austria,Europe & Central Asia,7,431,67,155,1284,479612538,56,3790
Azerbaijan,Europe & Central Asia,28,132,403,116,1453,433460516,6,3213
"Bahamas, The",Latin America & Caribbean,8,768,189,176,385,15671416,,4630
Bahrain,Middle East & North Africa,16,1162,179,151,1393,38856660,0,5293
Bangladesh,South Asia,4,13,20,258,1164,6382290264,,1192
Barbados,Latin America & Caribbean,11,216,200,37,495,15912109,,2179
Belarus,Europe & Central Asia,24,183,55,75,1099,581255263,16,3733
Belgium,Europe & Central Asia,10,653,361,149,573,620279352,48,5852
Belize,Latin America & Caribbean,10,90,200,278,769,12857995,,2933
Benin,Sub-Saharan Africa,4,13,22,226,901,354645133,,1914
Bhutan,South Asia,5,24,24,278,1334,30425951,,1178
Bolivia,Latin America & Caribbean,9,56,126,207,1469,437510870,2,3275
Bosnia and Herzegovina,Europe & Central Asia,16,128,81,233,614,233666508,2,2272
Botswana,Sub-Saharan Africa,7,86,122,470,2195,79501592,1,2203
Brazil,Latin America & Caribbean,5,88,97,231,1797,8924443877,20,4344
Brunei Darussalam,East Asia & Pacific,6,1160,162,78,3173,15904634,0,4069
Bulgaria,Europe & Central Asia,19,414,185,69,1389,498221354,13,3850
Burkina Faso,Sub-Saharan Africa,3,5,30,266,1342,621909466,3,899
Burundi,Sub-Saharan Africa,2,2,15,150,729,359389886,1,407
Cabo Verde,Sub-Saharan Africa,6,28,167,238,853,22255328,0,2470
Cambodia,East Asia & Pacific,4,10,209,154,652,618612444,0,993
Cameroon,Sub-Saharan Africa,5,18,57,220,1429,797548547,,2291
Canada,North America,10,924,115,104,571,1689156336,42,4714
Central African Republic,Sub-Saharan Africa,2,4,46,85,273,182562173,,2093
Chad,Sub-Saharan Africa,2,3,186,204,823,448130993,0,1113
Chile,Latin America & Caribbean,9,167,203,232,2211,818097170,4,4990
China,East Asia & Pacific,28,166,106,484,2606,66674292000,33,1910
Colombia,Latin America & Caribbean,5,87,112,234,1675,2029238618,4,4133
Comoros,Sub-Saharan Africa,3,9,16,109,471,27480848,,1501
"Congo, Dem. Rep.",Sub-Saharan Africa,2,5,91,96,884,2486671259,1,1944
"Congo, Rep.",Sub-Saharan Africa,7,43,335,211,2584,163358720,,3183
Costa Rica,Latin America & Caribbean,4,65,185,263,1495,194277756,8,3257
